round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,2.352554206,0.847265665,0.04388098,0.976835112,50,30,20,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
30,2.434304858,0.847367585,0.043576569,0.9768096,60,35,25,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x0000012676865F78>
30,2.31044281,0.847626929,0.043631672,0.976721638,70,35,25,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
30,2.177580853,0.847540472,0.044170087,0.976381989,60,35,20,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.447043263,0.847948052,0.044372777,0.976381217,70,40,25,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
30,1.984901995,0.84765163,0.04406942,0.976349568,60,35,25,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
30,2.446803606,0.847929526,0.043958865,0.976296304,50,40,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.447079364,0.847827631,0.04390965,0.976236866,50,30,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.447638216,0.847734999,0.043811015,0.976217567,60,30,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.00353629,0.847281103,0.044104747,0.97618283,60,30,25,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
30,2.320510509,0.847278016,0.044242091,0.976085567,60,40,25,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
30,2.402748567,0.847404612,0.045029623,0.976073216,50,35,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
30,1.958737129,0.847722648,0.045289161,0.976061637,50,35,20,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.305879247,0.847525034,0.045178983,0.976053918,50,40,20,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
30,2.435399577,0.847157594,0.045218891,0.975992163,50,30,25,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.391238755,0.847620753,0.045336112,0.975988304,60,40,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.389085631,0.846382575,0.045947171,0.975869426,70,30,25,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.482716425,0.845579767,0.066314674,0.972890543,60,30,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x7f07e323aea0>
30,2.455543074,0.8463764,0.072956788,0.971064926,70,30,20,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x7f07e323aea0>
