round_epochs,val_loss,val_acc,loss,acc,hidden_layer,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,5.250597193,0.67419269,2.143390706,0.866114167,2,80,20,0,0,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,5.284996522,0.672107878,1.97300997,0.876354457,2,100,40,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,ELU
50,5.521115339,0.657425479,2.514359593,0.842529748,2,100,50,0,0,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,5.593859962,0.652945351,2.162630705,0.864963127,2,80,30,0,0,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,5.608315467,0.65201384,2.2228547,0.862089495,2,80,40,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,ELU
50,5.800830721,0.640081618,1.546130018,0.902042501,2,60,20,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,ELU
50,8.119819531,0.496229595,4.960138233,0.691537075,2,60,30,0,0,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,9.175102859,0.43075763,5.402769537,0.663896232,2,80,50,0,0,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,9.176532783,0.430668914,7.053584935,0.561477459,2,100,50,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,10.78519643,0.330864088,8.136145008,0.494621863,2,100,20,0,0,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,ELU
50,10.78591138,0.33081973,4.899249318,0.694950505,2,100,30,0,0,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,10.78591138,0.33081973,8.247395382,0.487318711,2,100,40,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,1.971402315,0.818399574,0.003054256,0.998912465,3,80,40,30,0,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.817244424,0.816403478,0.012390366,0.997666167,3,80,50,20,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.016805601,0.816226047,0.003899612,0.99880133,3,75,40,20,0,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.672875184,0.815959901,0.018108523,0.996785025,3,100,40,20,0,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.743079697,0.815560681,0.003092861,0.998960095,3,75,60,30,0,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.63378988,0.814762243,0.004985487,0.998428235,3,80,40,15,0,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,2.023223488,0.813742016,0.023503122,0.995888008,3,80,60,30,0,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.626080224,0.811479773,0.003075473,0.998896589,3,75,50,20,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.599163857,0.81037083,0.013233875,0.997046986,3,80,60,20,0,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,2.091686166,0.809572392,0.018358592,0.996753273,3,80,50,15,0,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.856839626,0.809306246,0.007074625,0.998158336,3,75,60,30,0,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.837803418,0.80806423,0.002890227,0.998888651,3,75,40,30,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
