round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.793549777,0.80420511,0.00304126,0.998912465,80,60,20,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.712881639,0.803761533,0.016550751,0.997007295,80,40,30,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.979920984,0.803761533,0.006938925,0.99795988,80,60,20,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.356290228,0.803539744,0.004462055,0.998674319,80,40,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.896342965,0.803406671,0.005431225,0.998364729,75,50,30,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.418072206,0.803273598,0.003148199,0.998928342,75,50,30,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.59272966,0.803229241,0.004119016,0.99871401,75,60,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.654542046,0.803229241,0.003128684,0.998833083,100,40,30,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.812233416,0.803229241,0.00799151,0.998015448,75,40,30,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.106760671,0.803184883,0.009861648,0.997324824,75,50,20,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x000002310C9D2C80>
50,1.713688246,0.803140525,0.003074029,0.998920404,100,40,30,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.979001187,0.803140525,0.018906929,0.996777087,80,50,15,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.676211578,0.803007452,0.003030962,0.998920404,75,60,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.458971934,0.802963094,0.003354475,0.998880713,100,60,30,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,2.036695383,0.802830021,0.010523174,0.997578846,100,40,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.801529967,0.802785664,0.003110383,0.998896589,75,40,30,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.336140798,0.802563875,0.016689041,0.996403991,75,50,30,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.892213129,0.802519517,0.003524771,0.998880713,100,50,20,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.128369534,0.80247516,0.004467158,0.998698134,75,50,30,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x000002310CE2AB70>
50,1.123356977,0.802386444,0.006600964,0.998126583,100,40,30,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x000002310C9D2C80>
50,1.695270499,0.802209013,0.003967313,0.998618752,80,40,30,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.041094667,0.801809794,0.004369464,0.998594937,75,40,20,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x000002310C9D2EA0>
50,0.951850015,0.801765436,0.003840383,0.99880133,100,40,20,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x000002310C9D2EA0>
50,1.724049991,0.80149929,0.003502892,0.99880133,100,50,20,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.234369646,0.801233144,0.005568572,0.998547308,75,60,30,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x000002310CE2AB70>
50,1.454927107,0.801100071,0.003452319,0.998841021,100,60,30,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.827931786,0.800833925,0.016053542,0.996554817,75,50,15,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.667957468,0.800833925,0.002809111,0.998999786,80,40,15,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.406784179,0.800700852,0.016388175,0.996753273,100,40,30,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.831121389,0.800612136,0.014788786,0.997110492,75,60,30,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.847247108,0.800567779,0.013851619,0.997451835,75,40,15,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.182651192,0.800567779,0.003676367,0.998777516,100,50,30,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x000002310C9D2C80>
50,1.741279002,0.799946771,0.002741056,0.998991847,75,40,30,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.746105232,0.799946771,0.009293661,0.997904313,80,40,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.135888018,0.799281405,0.005046695,0.998348853,100,60,20,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x000002310C9D2EA0>
50,1.548020893,0.79919269,0.002912979,0.998952156,100,40,20,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.431526695,0.798793471,0.002825315,0.998968033,75,50,15,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.558599732,0.798261178,0.003382467,0.998841021,75,40,20,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.929415786,0.798128105,0.005837733,0.998277409,80,50,15,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.571456711,0.797995032,0.007617283,0.997975757,100,50,20,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x000002310C9D2EA0>
50,1.852384182,0.797817601,0.004415262,0.998515555,75,50,20,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.451291591,0.797595813,0.00820602,0.998150397,80,60,30,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.861842273,0.79746274,0.003097011,0.99893628,100,50,15,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.965940608,0.797418382,0.021161843,0.995570479,100,60,15,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.060435638,0.797329666,0.010751962,0.997213689,80,60,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x000002310CE2AB70>
50,1.311716784,0.797196593,0.003823636,0.99871401,80,60,20,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,2.059788514,0.796974805,0.011241026,0.997578846,100,60,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,2.050873563,0.796930447,0.040282914,0.993951085,100,40,30,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.334499873,0.796886089,0.004339957,0.998721948,100,60,30,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x000002310CE2AB70>
50,1.353644649,0.796753016,0.002503854,0.999031539,75,40,30,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.753261626,0.796619943,0.010348673,0.997769363,80,60,15,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.524945121,0.79648687,0.008088661,0.998142459,75,40,15,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
