round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.65603104,0.813830731,0.018755421,0.996459559,80,60,40,15,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,9.17510287,0.43075763,6.079486786,0.622268264,90,60,30,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,2.086589054,0.825141945,0.020337241,0.996015019,100,60,40,15,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.410050257,0.800434705,0.003052308,0.99893628,100,60,40,20,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,2.099646988,0.815560681,0.009526427,0.997674105,90,50,40,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,10.78591463,0.33081973,10.15220832,0.368745684,90,60,30,20,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.480777975,0.817689851,0.011458864,0.997610599,80,60,30,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,10.78591139,0.33081973,8.586409139,0.466465036,80,60,40,15,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.040841786,0.806822214,0.003939258,0.998777516,100,50,40,15,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.349857134,0.798527324,0.003138123,0.998975971,80,60,30,20,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,0.998399572,0.796753016,0.007634191,0.997801116,100,50,30,15,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,9.17510288,0.43075763,7.374970142,0.541909774,90,50,30,15,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.209622462,0.804293825,0.003936303,0.998769578,90,60,30,15,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,10.78591463,0.33081973,10.21163728,0.364578124,100,50,30,15,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
